project_id,project_name,department_id,start_date,end_date,status,budget,created_at
1,Data Warehouse Migration,9,2022-04-27,2023-04-03,completed,780674.72,2026-04-05 21:50:04.982476
2,Customer Portal Redesign,6,2021-04-01,2021-08-26,completed,1114202.81,2026-04-05 21:50:04.982476
3,Sales Dashboard,4,2021-05-13,2022-04-11,completed,1928464.91,2026-04-05 21:50:04.982476
4,HR Analytics Platform,3,2020-06-08,2021-11-30,completed,757846.12,2026-04-05 21:50:04.982476
5,Mobile App v2,6,2020-05-04,2021-08-03,completed,1651662.46,2026-04-05 21:50:04.982476
6,API Gateway Implementation,10,2021-05-24,2021-09-01,completed,117878.39,2026-04-05 21:50:04.982476
7,Cloud Migration,1,2022-10-23,2024-02-03,completed,1396830.79,2026-04-05 21:50:04.982476
8,Security Audit,4,2021-04-04,2022-08-10,completed,543316.65,2026-04-05 21:50:04.982476
9,ERP Integration,5,2021-04-21,2022-02-01,completed,1295950.66,2026-04-05 21:50:04.982476
10,ML Recommendation Engine,6,2021-11-23,2023-02-14,completed,1811156.34,2026-04-05 21:50:04.982476
11,Data Lake Setup,2,2022-07-25,2023-10-08,completed,1093075.85,2026-04-05 21:50:04.982476
12,CI/CD Pipeline,8,2023-01-19,2023-08-18,completed,807518.48,2026-04-05 21:50:04.982476
13,Employee Self-Service Portal,5,2021-10-23,2022-08-10,completed,636731.9,2026-04-05 21:50:04.982476
14,Financial Reporting Tool,4,2020-09-15,2022-02-08,completed,629974.66,2026-04-05 21:50:04.982476
15,Kubernetes Migration,3,2022-12-07,2024-05-20,completed,1835987.06,2026-04-05 21:50:04.982476
